v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),lambda(nm),QE(%),photon energy (eV)
0.368467,3.03066627e+01,5.26746631e+00,3.61130338e+01,4.54868651e-01,4.67544546e+00,1.28887305e-01,8.26489621e-03,4.42036343e-01,1.28323086e-02,0.00000000e+00,560.000000,9.349260e+01,2.214245
0.394069,2.91861071e+01,6.36802142e+00,3.61130338e+01,5.01410093e-01,5.72944431e+00,1.28901263e-01,8.26575378e-03,4.87121671e-01,1.42884221e-02,0.00000000e+00,570.000000,9.347853e+01,2.175398
0.422986,2.74028212e+01,8.13130645e+00,3.61130338e+01,5.54871648e-01,7.43925218e+00,1.28915463e-01,8.26716062e-03,5.38935853e-01,1.59357955e-02,0.00000000e+00,580.000000,9.345820e+01,2.137891
0.457090,2.45819028e+01,1.09322232e+01,3.61130338e+01,6.15892965e-01,1.01791310e+01,1.28929763e-01,8.26948686e-03,5.98105100e-01,1.77878647e-02,0.00000000e+00,590.000000,9.343297e+01,2.101656
0.498659,2.02682597e+01,1.52258700e+01,3.61130338e+01,6.84255052e-01,1.44043977e+01,1.28943897e-01,8.27330277e-03,6.64413776e-01,1.98412761e-02,0.00000000e+00,600.000000,9.339850e+01,2.066628
0.549545,1.40909547e+01,2.13831736e+01,3.61130338e+01,7.57922130e-01,2.04880147e+01,1.28957449e-01,8.27940008e-03,7.35872552e-01,2.20495774e-02,0.00000000e+00,610.000000,9.335433e+01,2.032749
0.609519,6.09629600e+00,2.93578333e+01,3.61130338e+01,8.32097961e-01,2.83884768e+01,1.28969820e-01,8.28876212e-03,8.07795528e-01,2.43024325e-02,0.00000000e+00,620.000000,9.329994e+01,1.999963
0.674536,-2.90717464e+00,3.83413005e+01,3.61130338e+01,8.99508155e-01,3.73045097e+01,1.28980321e-01,8.30233038e-03,8.73101045e-01,2.64071102e-02,0.00000000e+00,630.000000,9.323478e+01,1.968217
0.737204,-1.14407663e+01,4.68548930e+01,3.61130338e+01,9.53055210e-01,4.57645290e+01,1.28988378e-01,8.32039404e-03,9.24907050e-01,2.81481601e-02,0.00000000e+00,640.000000,9.315826e+01,1.937464
0.790674,-1.81348981e+01,5.35290186e+01,3.61130338e+01,9.89744155e-01,5.24019374e+01,1.28993860e-01,8.34320662e-03,9.60355853e-01,2.93883022e-02,0.00000000e+00,650.000000,9.306970e+01,1.907657
0.832724,-2.25448325e+01,5.79189567e+01,3.61130338e+01,1.01168961e+00,5.67699004e+01,1.28997159e-01,8.36946804e-03,9.81529130e-01,3.01604781e-02,0.00000000e+00,660.000000,9.296838e+01,1.878753
0.865487,-2.50974897e+01,6.04516111e+01,3.61130338e+01,1.02365671e+00,5.92905577e+01,1.28998975e-01,8.39768571e-03,9.93067919e-01,3.05887951e-02,0.00000000e+00,670.000000,9.285354e+01,1.850712
0.892385,-2.64769737e+01,6.18110929e+01,3.61130338e+01,1.02987690e+00,6.06437892e+01,1.28999925e-01,8.42690017e-03,9.99062673e-01,3.08142269e-02,0.00000000e+00,680.000000,9.272429e+01,1.823496
0.916076,-2.72151446e+01,6.25292624e+01,3.61130338e+01,1.03310653e+00,6.13586995e+01,1.29000421e-01,8.45594775e-03,1.00217444e+00,3.09320855e-02,0.00000000e+00,690.000000,9.257971e+01,1.797068
0.938146,-2.76291415e+01,6.29232585e+01,3.61130338e+01,1.03486165e+00,6.17509111e+01,1.29000691e-01,8.48508992e-03,1.00386525e+00,3.09964008e-02,0.00000000e+00,700.000000,9.241876e+01,1.771396
0.959420,-2.78840740e+01,6.31581906e+01,3.61130338e+01,1.03590234e+00,6.19847734e+01,1.29000851e-01,8.51399450e-03,1.00486769e+00,3.10346454e-02,0.00000000e+00,710.000000,9.224030e+01,1.746446
0.980307,-2.80614350e+01,6.33155514e+01,3.61130338e+01,1.03659681e+00,6.21414113e+01,1.29000958e-01,8.54234186e-03,1.00553659e+00,3.10602236e-02,0.00000000e+00,720.000000,9.204308e+01,1.722190
1.001000,-2.82000188e+01,6.34341351e+01,3.61130338e+01,1.03711872e+00,6.22594451e+01,1.29001039e-01,8.57022198e-03,1.00603924e+00,3.10794805e-02,0.00000000e+00,730.000000,9.182574e+01,1.698599
1.021595,-2.83190729e+01,6.35331891e+01,3.61130338e+01,1.03755371e+00,6.23580364e+01,1.29001106e-01,8.59789814e-03,1.00645815e+00,3.10955559e-02,0.00000000e+00,740.000000,9.158674e+01,1.675645
1.042135,-2.84270563e+01,6.36211724e+01,3.61130338e+01,1.03793940e+00,6.24456067e+01,1.29001165e-01,8.62508207e-03,1.00682958e+00,3.11098228e-02,0.00000000e+00,750.000000,9.132439e+01,1.653303
1.062641,-2.85282173e+01,6.37023334e+01,3.61130338e+01,1.03829463e+00,6.25263857e+01,1.29001220e-01,8.65186504e-03,1.00717165e+00,3.11229741e-02,0.00000000e+00,760.000000,9.103681e+01,1.631549
1.083123,-2.86246740e+01,6.37787900e+01,3.61130338e+01,1.03862878e+00,6.26024815e+01,1.29001272e-01,8.67842452e-03,1.00749343e+00,3.11353540e-02,0.00000000e+00,770.000000,9.072192e+01,1.610360
1.103586,-2.87171587e+01,6.38512747e+01,3.61130338e+01,1.03894518e+00,6.26746237e+01,1.29001321e-01,8.70444774e-03,1.00779810e+00,3.11470813e-02,0.00000000e+00,780.000000,9.037735e+01,1.589714
1.124034,-2.88068142e+01,6.39209301e+01,3.61130338e+01,1.03924882e+00,6.27439497e+01,1.29001368e-01,8.73014864e-03,1.00809047e+00,3.11583458e-02,0.00000000e+00,790.000000,9.000048e+01,1.569591
1.144469,-2.88937391e+01,6.39878550e+01,3.61130338e+01,1.03954022e+00,6.28105578e+01,1.29001413e-01,8.75550223e-03,1.00837106e+00,3.11691603e-02,0.00000000e+00,800.000000,8.958834e+01,1.549971
1.164891,-2.89782475e+01,6.40523633e+01,3.61130338e+01,1.03982076e+00,6.28747604e+01,1.29001456e-01,8.78070915e-03,1.00864118e+00,3.11795778e-02,0.00000000e+00,810.000000,8.913756e+01,1.530836
1.185302,-2.90604589e+01,6.41145747e+01,3.61130338e+01,1.04009102e+00,6.29366766e+01,1.29001498e-01,8.80562437e-03,1.00890140e+00,3.11896179e-02,0.00000000e+00,820.000000,8.864432e+01,1.512167
1.205702,-2.91404885e+01,6.41746043e+01,3.61130338e+01,1.04035157e+00,6.29964211e+01,1.29001539e-01,8.83009904e-03,1.00915227e+00,3.11992951e-02,0.00000000e+00,830.000000,8.810424e+01,1.493948
1.226093,-2.92185563e+01,6.42326720e+01,3.61130338e+01,1.04060325e+00,6.30542127e+01,1.29001578e-01,8.85446302e-03,1.00939459e+00,3.12086604e-02,0.00000000e+00,840.000000,8.751231e+01,1.476163
1.246472,-2.92944095e+01,6.42885252e+01,3.61130338e+01,1.04084515e+00,6.31098002e+01,1.29001615e-01,8.87819767e-03,1.00962750e+00,3.12176565e-02,0.00000000e+00,850.000000,8.686269e+01,1.458796
1.266844,-2.93687746e+01,6.43428902e+01,3.61130338e+01,1.04108034e+00,6.31639062e+01,1.29001652e-01,8.90199329e-03,1.00985393e+00,3.12264124e-02,0.00000000e+00,860.000000,8.614863e+01,1.441834
1.287207,-2.94414461e+01,6.43955617e+01,3.61130338e+01,1.04130800e+00,6.32163265e+01,1.29001687e-01,8.92554490e-03,1.01007312e+00,3.12348889e-02,0.00000000e+00,870.000000,8.536219e+01,1.425261
1.307563,-2.95125174e+01,6.44466330e+01,3.61130338e+01,1.04152855e+00,6.32671539e+01,1.29001721e-01,8.94886099e-03,1.01028545e+00,3.12431035e-02,0.00000000e+00,880.000000,8.449396e+01,1.409065
1.327910,-2.95820148e+01,6.44961304e+01,3.61130338e+01,1.04174211e+00,6.33164148e+01,1.29001754e-01,8.97176175e-03,1.01049105e+00,3.12510610e-02,0.00000000e+00,890.000000,8.353273e+01,1.393233
1.348251,-2.96501168e+01,6.45442324e+01,3.61130338e+01,1.04194947e+00,6.33642865e+01,1.29001787e-01,8.99462634e-03,1.01069068e+00,3.12587905e-02,0.00000000e+00,900.000000,8.246498e+01,1.377752
-0.171222,3.42444559e+01,1.84893396e+00,3.61130338e+01,8.37517200e-02,1.62644385e+00,1.28565727e-01,1.01726611e-02,8.28254156e-02,9.26304344e-04,0.00000000e+00,300.000000,1.346095e+01,4.133257
-0.150974,3.41947783e+01,1.87860869e+00,3.61130338e+01,8.62963878e-02,1.65356507e+00,1.28574285e-01,1.01729495e-02,8.53094277e-02,9.86960119e-04,0.00000000e+00,310.000000,1.654516e+01,3.999926
-0.130719,3.41438931e+01,1.90949385e+00,3.61130338e+01,8.90096111e-02,1.68172810e+00,1.28582906e-01,1.01732250e-02,8.79567768e-02,1.05283431e-03,0.00000000e+00,320.000000,2.060782e+01,3.874928
-0.110459,3.40917122e+01,1.94167470e+00,3.61130338e+01,9.19071179e-02,1.71100250e+00,1.28591592e-01,1.01734878e-02,9.07826649e-02,1.12445301e-03,0.00000000e+00,330.000000,2.624400e+01,3.757506
-0.090191,3.40381422e+01,1.97524464e+00,3.61130338e+01,9.50064331e-02,1.74146412e+00,1.28600347e-01,1.01737386e-02,9.38040309e-02,1.20240216e-03,0.00000000e+00,340.000000,3.484716e+01,3.646991
-0.069915,3.39830804e+01,2.01030641e+00,3.61130338e+01,9.83270974e-02,1.77319616e+00,1.28609174e-01,1.01739777e-02,9.70397632e-02,1.28733419e-03,0.00000000e+00,350.000000,5.180802e+01,3.542791
-0.049632,3.39264135e+01,2.04697326e+00,3.61130338e+01,1.01890936e-01,1.80629004e+00,1.28618077e-01,1.01742056e-02,1.00510960e-01,1.37997620e-03,0.00000000e+00,360.000000,8.234571e+01,3.444381
-0.029340,3.38680164e+01,2.08537033e+00,3.61130338e+01,1.05722372e-01,1.84084647e+00,1.28627061e-01,1.01744228e-02,1.04241233e-01,1.48113946e-03,0.00000000e+00,370.000000,8.457910e+01,3.351289
-0.009039,3.38077504e+01,2.12563625e+00,3.61130338e+01,1.09848783e-01,1.87697671e+00,1.28636128e-01,1.01746298e-02,1.08257053e-01,1.59173017e-03,0.00000000e+00,380.000000,8.756110e+01,3.263097
0.011273,3.37454616e+01,2.16792503e+00,3.61130338e+01,1.14300926e-01,1.91480399e+00,1.28645284e-01,1.01748271e-02,1.12588164e-01,1.71276179e-03,0.00000000e+00,390.000000,9.320214e+01,3.179428
0.031595,3.36809783e+01,2.21240827e+00,3.61130338e+01,1.19113429e-01,1.95446529e+00,1.28654534e-01,1.01750152e-02,1.17268060e-01,1.84536929e-03,0.00000000e+00,400.000000,9.329306e+01,3.099943
0.051929,3.36141087e+01,2.25927779e+00,3.61130338e+01,1.24325378e-01,1.99611333e+00,1.28663881e-01,1.01751948e-02,1.22334553e-01,1.99082543e-03,0.00000000e+00,410.000000,9.337843e+01,3.024334
0.072277,3.35446375e+01,2.30874885e+00,3.61130338e+01,1.29981009e-01,2.03991914e+00,1.28673332e-01,1.01753664e-02,1.27830449e-01,2.15055984e-03,0.00000000e+00,420.000000,9.345825e+01,2.952326
0.092638,3.34723222e+01,2.36106409e+00,3.61130338e+01,1.36130547e-01,2.08607512e+00,1.28682892e-01,1.01755306e-02,1.33804366e-01,2.32618102e-03,0.00000000e+00,430.000000,9.353250e+01,2.883667
0.113016,3.33968877e+01,2.41649846e+00,3.61130338e+01,1.42831235e-01,2.13479897e+00,1.28692566e-01,1.01756880e-02,1.40311732e-01,2.51950224e-03,0.00000000e+00,440.000000,9.360113e+01,2.818130
0.133410,3.33180203e+01,2.47536568e+00,3.61130338e+01,1.50148614e-01,2.18633887e+00,1.28702361e-01,1.01758393e-02,1.47416042e-01,2.73257193e-03,0.00000000e+00,450.000000,9.366407e+01,2.755504
0.153823,3.32353590e+01,2.53802685e+00,3.61130338e+01,1.58158164e-01,2.24098042e+00,1.28712283e-01,1.01759852e-02,1.55190454e-01,2.96770972e-03,0.00000000e+00,460.000000,9.372125e+01,2.695602
0.174258,3.31484830e+01,2.60490260e+00,3.61130338e+01,1.66947478e-01,2.29905666e+00,1.28722339e-01,1.01761264e-02,1.63719928e-01,3.22754955e-03,0.00000000e+00,470.000000,9.377255e+01,2.638249
0.194716,3.30568944e+01,2.67649112e+00,3.61130338e+01,1.76619235e-01,2.36096308e+00,1.28732536e-01,1.01762637e-02,1.73104144e-01,3.51509150e-03,0.00000000e+00,480.000000,9.381784e+01,2.583285
0.215200,3.29599893e+01,2.75339597e+00,3.61130338e+01,1.87295460e-01,2.42718123e+00,1.28742882e-01,1.01763980e-02,1.83461695e-01,3.83376522e-03,0.00000000e+00,490.000000,9.385696e+01,2.530565
0.235715,3.28570136e+01,2.83637142e+00,3.61130338e+01,1.99123821e-01,2.49831769e+00,1.28753384e-01,1.01765303e-02,1.94936312e-01,4.18750846e-03,0.00000000e+00,500.000000,9.388973e+01,2.479954
0.256265,3.27469859e+01,2.92639879e+00,3.61130338e+01,2.12287267e-01,2.57517082e+00,1.28764050e-01,1.01766615e-02,2.07706400e-01,4.58086669e-03,0.00000000e+00,510.000000,9.391595e+01,2.431327
0.276857,3.26285655e+01,3.02481885e+00,3.61130338e+01,2.27019066e-01,2.65884810e+00,1.28774891e-01,1.01767933e-02,2.21999942e-01,5.01912340e-03,0.00000000e+00,520.000000,9.393537e+01,2.384571
0.297501,3.24998180e+01,3.13356599e+00,3.61130338e+01,2.43626498e-01,2.75097665e+00,1.28785913e-01,1.01769273e-02,2.38118021e-01,5.50847762e-03,0.00000000e+00,530.000000,9.394771e+01,2.339579
0.318211,3.23577958e+01,3.25558774e+00,3.61130338e+01,2.62528141e-01,2.85408540e+00,1.28797127e-01,1.01770662e-02,2.56471841e-01,6.05629945e-03,0.00000000e+00,540.000000,9.395265e+01,2.296254
0.339011,3.21977821e+01,3.39560094e+00,3.61130338e+01,2.84312051e-01,2.97230313e+00,1.28808542e-01,1.01772137e-02,2.77640529e-01,6.67152184e-03,0.00000000e+00,550.000000,9.394977e+01,2.254504
0.359940,3.20119250e+01,3.56145754e+00,3.61130338e+01,3.09825552e-01,3.11263445e+00,1.28820167e-01,1.01773762e-02,3.02460269e-01,7.36528300e-03,0.00000000e+00,560.000000,9.393849e+01,2.214245
0.381066,3.17867768e+01,3.76660489e+00,3.61130338e+01,3.40312343e-01,3.28728297e+00,1.28832009e-01,1.01775640e-02,3.32160297e-01,8.15204668e-03,0.00000000e+00,570.000000,9.391711e+01,2.175398
0.402506,3.14988991e+01,4.03448145e+00,3.61130338e+01,3.77620217e-01,3.51783936e+00,1.28844075e-01,1.01777951e-02,3.68568567e-01,9.05165086e-03,0.00000000e+00,580.000000,9.388846e+01,2.137891
0.424464,3.11071380e+01,4.40624112e+00,3.61130338e+01,4.24512270e-01,3.84269438e+00,1.28856368e-01,1.01781011e-02,4.14419110e-01,1.00931600e-02,0.00000000e+00,590.000000,9.385311e+01,2.101656
0.447303,3.05394669e+01,4.95391061e+00,3.61130338e+01,4.85120035e-01,4.32974316e+00,1.28868881e-01,1.01785379e-02,4.73797903e-01,1.13221318e-02,0.00000000e+00,600.000000,9.380845e+01,2.066628
0.471641,2.96718467e+01,5.80152791e+00,3.61130338e+01,5.65554408e-01,5.09691270e+00,1.28881596e-01,1.01792041e-02,5.52740493e-01,1.28139146e-02,0.00000000e+00,610.000000,9.375403e+01,2.032749
0.498510,2.82980324e+01,7.15533806e+00,3.61130338e+01,6.74569766e-01,6.34169355e+00,1.28894473e-01,1.01802707e-02,6.59873821e-01,1.46959448e-02,0.00000000e+00,620.000000,9.368931e+01,1.999963
0.529514,2.60971514e+01,9.33620742e+00,3.61130338e+01,8.23799742e-01,8.37331822e+00,1.28907432e-01,1.01820264e-02,8.06621955e-01,1.71777863e-02,0.00000000e+00,630.000000,9.361373e+01,1.968217
0.566858,2.26284134e+01,1.27849704e+01,3.61130338e+01,1.02622351e+00,1.16196417e+01,1.28920328e-01,1.01849399e-02,1.00565254e+00,2.05709643e-02,0.00000000e+00,640.000000,9.352669e+01,1.937464
0.612883,1.74234584e+01,1.79699201e+01,3.61130338e+01,1.29050052e+00,1.65402970e+01,1.28932937e-01,1.01896925e-02,1.26527851e+00,2.52220031e-02,0.00000000e+00,650.000000,9.342752e+01,1.907657
0.668706,1.02588074e+01,2.51145745e+01,3.61130338e+01,1.60972884e+00,2.33657036e+01,1.28944887e-01,1.01971897e-02,1.57844690e+00,3.12819321e-02,0.00000000e+00,660.000000,9.331548e+01,1.878753
0.732191,1.56172883e+00,3.37916321e+01,3.61130338e+01,1.95086183e+00,3.17016062e+01,1.28955665e-01,1.02084058e-02,1.91254418e+00,3.83176536e-02,0.00000000e+00,670.000000,9.318979e+01,1.850712
0.797124,-7.42476138e+00,4.27580377e+01,3.61130338e+01,2.26091346e+00,4.03579358e+01,1.28964662e-01,1.02237501e-02,2.21570187e+00,4.52115871e-02,0.00000000e+00,680.000000,9.304958e+01,1.823496
0.855761,-1.51521920e+01,5.04655315e+01,3.61130338e+01,2.49587035e+00,4.78304457e+01,1.28971399e-01,1.02440181e-02,2.44509742e+00,5.07729295e-02,0.00000000e+00,690.000000,9.289389e+01,1.797068
0.903422,-2.06844668e+01,5.59777955e+01,3.61130338e+01,2.64628330e+00,5.31922682e+01,1.28975841e-01,1.02681474e-02,2.59179185e+00,5.44914480e-02,0.00000000e+00,700.000000,9.272168e+01,1.771396
0.940420,-2.40839303e+01,5.93572073e+01,3.61130338e+01,2.73126334e+00,5.64866706e+01,1.28978457e-01,1.02949767e-02,2.67461405e+00,5.66492860e-02,0.00000000e+00,710.000000,9.253182e+01,1.746446
0.969878,-2.59755608e+01,6.12287928e+01,3.61130338e+01,2.77590398e+00,5.83135858e+01,1.28979876e-01,1.03231274e-02,2.71810317e+00,5.78008130e-02,0.00000000e+00,720.000000,9.232304e+01,1.722190
0.994935,-2.69870046e+01,6.22202066e+01,3.61130338e+01,2.79884318e+00,5.92820313e+01,1.28980620e-01,1.03515421e-02,2.74044562e+00,5.83975611e-02,0.00000000e+00,730.000000,9.209396e+01,1.698599
1.017689,-2.75378902e+01,6.27510750e+01,3.61130338e+01,2.81092181e+00,5.98007921e+01,1.28981017e-01,1.03801026e-02,2.75220856e+00,5.87132518e-02,0.00000000e+00,740.000000,9.184304e+01,1.675645
1.039298,-2.78596314e+01,6.30529574e+01,3.61130338e+01,2.81750669e+00,6.00960609e+01,1.28981230e-01,1.04085622e-02,2.75860766e+00,5.88990254e-02,0.00000000e+00,750.000000,9.156859e+01,1.653303
1.060348,-2.80696929e+01,6.32430172e+01,3.61130338e+01,2.82175988e+00,6.02818393e+01,1.28981370e-01,1.04365757e-02,2.76274882e+00,5.90110668e-02,0.00000000e+00,760.000000,9.126871e+01,1.631549
1.081123,-2.82246080e+01,6.33779312e+01,3.61130338e+01,2.82476726e+00,6.04137186e+01,1.28981470e-01,1.04639027e-02,2.76567687e+00,5.90903915e-02,0.00000000e+00,770.000000,9.094129e+01,1.610360
1.101761,-2.83522507e+01,6.34855732e+01,3.61130338e+01,2.82715954e+00,6.05189409e+01,1.28981550e-01,1.04911452e-02,2.76800599e+00,5.91535588e-02,0.00000000e+00,780.000000,9.058399e+01,1.589714
1.122326,-2.84651284e+01,6.35784503e+01,3.61130338e+01,2.82921870e+00,6.06097321e+01,1.28981619e-01,1.05178878e-02,2.77001073e+00,5.92079725e-02,0.00000000e+00,790.000000,9.019415e+01,1.569591
