v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),lambda(nm),QE(%),photon energy (eV)
0.349129,3.01742490e+01,3.22760106e+00,3.39282800e+01,3.36304167e-01,2.75852747e+00,1.28757606e-01,4.01180937e-03,3.28635286e-01,7.66888095e-03,0.00000000e+00,610.000000,9.448790e+01,2.032749
0.369775,3.00449413e+01,3.33690849e+00,3.39282800e+01,3.56416434e-01,2.84771215e+00,1.28768074e-01,4.01183701e-03,3.48167459e-01,8.24897491e-03,0.00000000e+00,620.000000,9.430244e+01,1.999963
0.390469,2.99062861e+01,3.45556364e+00,3.39282800e+01,3.78479160e-01,2.94429388e+00,1.28778734e-01,4.01186570e-03,3.69598300e-01,8.88086041e-03,0.00000000e+00,630.000000,9.410329e+01,1.968217
0.411219,2.97562284e+01,3.58562120e+00,3.39282800e+01,4.02828537e-01,3.04999117e+00,1.28789592e-01,4.01189591e-03,3.93257871e-01,9.57066525e-03,0.00000000e+00,640.000000,9.388976e+01,1.937464
0.432042,2.95916215e+01,3.73022784e+00,3.39282800e+01,4.29920927e-01,3.16749432e+00,1.28800659e-01,4.01192828e-03,4.19595276e-01,1.03256508e-02,0.00000000e+00,650.000000,9.366095e+01,1.907657
0.452963,2.94074037e+01,3.89444533e+00,3.39282800e+01,4.60396022e-01,3.30122540e+00,1.28811942e-01,4.01196382e-03,4.49241399e-01,1.11546227e-02,0.00000000e+00,660.000000,9.341588e+01,1.878753
0.474024,2.91951104e+01,4.08673831e+00,3.39282800e+01,4.95174241e-01,3.45872862e+00,1.28823450e-01,4.01200420e-03,4.83105614e-01,1.20686268e-02,0.00000000e+00,670.000000,9.315347e+01,1.850712
0.495299,2.89401951e+01,4.32165313e+00,3.39282800e+01,5.35605759e-01,3.65320013e+00,1.28835189e-01,4.01205223e-03,5.22523566e-01,1.30821925e-02,0.00000000e+00,680.000000,9.287252e+01,1.823496
0.516914,2.86172538e+01,4.62459375e+00,3.39282800e+01,5.83697270e-01,3.90803720e+00,1.28847164e-01,4.01211281e-03,5.69481621e-01,1.42156493e-02,0.00000000e+00,690.000000,9.257173e+01,1.797068
0.539092,2.81816755e+01,5.04017108e+00,3.39282800e+01,6.42453380e-01,4.26484613e+00,1.28859375e-01,4.01219464e-03,6.26953866e-01,1.54995141e-02,0.00000000e+00,700.000000,9.224989e+01,1.771396
0.562222,2.75555720e+01,5.64627297e+00,3.39282800e+01,7.16373766e-01,4.79701508e+00,1.28871812e-01,4.01231309e-03,6.99391027e-01,1.69827388e-02,0.00000000e+00,710.000000,9.190494e+01,1.746446
0.586972,2.66056709e+01,6.57617174e+00,3.39282800e+01,8.12113129e-01,5.63116167e+00,1.28884450e-01,4.01249525e-03,7.93365606e-01,1.87475227e-02,0.00000000e+00,720.000000,9.153536e+01,1.722190
0.614434,2.51132767e+01,8.04856077e+00,3.39282800e+01,9.39148989e-01,6.97650176e+00,1.28897236e-01,4.01278787e-03,9.18215957e-01,2.09330322e-02,0.00000000e+00,730.000000,9.113915e+01,1.698599
0.646267,2.27466887e+01,1.03951400e+01,3.39282800e+01,1.10982155e+00,9.15239508e+00,1.28910072e-01,4.01326887e-03,1.08605794e+00,2.37636121e-02,0.00000000e+00,740.000000,9.071412e+01,1.675645
0.684638,1.90723208e+01,1.40495259e+01,3.39282800e+01,1.33709769e+00,1.25794913e+01,1.28922786e-01,4.01406194e-03,1.30954185e+00,2.75558364e-02,0.00000000e+00,750.000000,9.025780e+01,1.653303
0.731605,1.36790008e+01,1.94228413e+01,3.39282800e+01,1.62755910e+00,1.76623317e+01,1.28935115e-01,4.01534147e-03,1.59494397e+00,3.26151339e-02,0.00000000e+00,760.000000,8.976768e+01,1.631549
0.787620,6.47597719e+00,2.66058672e+01,3.39282800e+01,1.96914064e+00,2.45037626e+01,1.28946652e-01,4.01732770e-03,1.93016971e+00,3.89709218e-02,0.00000000e+00,770.000000,8.924008e+01,1.610360
0.849737,-1.94735302e+00,3.50091798e+01,3.39282800e+01,2.32263900e+00,3.25535637e+01,1.28956870e-01,4.02023708e-03,2.27661000e+00,4.60290005e-02,0.00000000e+00,780.000000,8.867169e+01,1.589714
0.911499,-1.02997320e+01,4.33415071e+01,3.39282800e+01,2.63329415e+00,4.05752235e+01,1.28965196e-01,4.02422556e-03,2.58066438e+00,5.26297709e-02,0.00000000e+00,790.000000,8.805844e+01,1.569591
0.965988,-1.71976579e+01,5.02194741e+01,3.39282800e+01,2.86186692e+00,4.72246066e+01,1.28971262e-01,4.02927410e-03,2.80412595e+00,5.77409619e-02,0.00000000e+00,800.000000,8.739595e+01,1.549971
1.009853,-2.19706039e+01,5.49724184e+01,3.39282800e+01,3.00523185e+00,5.18341761e+01,1.28975160e-01,4.03519118e-03,2.94417446e+00,6.10573991e-02,0.00000000e+00,810.000000,8.667820e+01,1.530836
1.044184,-2.48367487e+01,5.78185357e+01,3.39282800e+01,3.08539156e+00,5.46001251e+01,1.28977411e-01,4.04164763e-03,3.02244222e+00,6.29493328e-02,0.00000000e+00,820.000000,8.589919e+01,1.512167
1.072077,-2.64154384e+01,5.93772123e+01,3.39282800e+01,3.12744347e+00,5.61167419e+01,1.28978621e-01,4.04832239e-03,3.06348997e+00,6.39534985e-02,0.00000000e+00,830.000000,8.505156e+01,1.493948
1.096315,-2.72629152e+01,6.02046825e+01,3.39282800e+01,3.14923106e+00,5.69224170e+01,1.28979257e-01,4.05512448e-03,3.08475404e+00,6.44770266e-02,0.00000000e+00,840.000000,8.412690e+01,1.476163
1.118660,-2.77320769e+01,6.06538372e+01,3.39282800e+01,3.16089960e+00,5.73598961e+01,1.28979601e-01,4.06189595e-03,3.09614121e+00,6.47583873e-02,0.00000000e+00,850.000000,8.311416e+01,1.458796
1.140071,-2.80141321e+01,6.09158885e+01,3.39282800e+01,3.16765484e+00,5.76151853e+01,1.28979801e-01,4.06860934e-03,3.10273320e+00,6.49216450e-02,0.00000000e+00,860.000000,8.200146e+01,1.441834
1.161024,-2.82048270e+01,6.10865797e+01,3.39282800e+01,3.17203344e+00,5.77814912e+01,1.28979930e-01,4.07518346e-03,3.10700580e+00,6.50276453e-02,0.00000000e+00,870.000000,8.077280e+01,1.425261
1.181751,-2.83501195e+01,6.12118724e+01,3.39282800e+01,3.17523636e+00,5.79035744e+01,1.28980026e-01,4.08162158e-03,3.11013107e+00,6.51052887e-02,0.00000000e+00,880.000000,7.940956e+01,1.409065
1.202364,-2.84727206e+01,6.13144725e+01,3.39282800e+01,3.17785208e+00,5.80035523e+01,1.28980104e-01,4.08801702e-03,3.11268332e+00,6.51687678e-02,0.00000000e+00,890.000000,7.788829e+01,1.393233
1.222914,-2.85827431e+01,6.14044942e+01,3.39282800e+01,3.18014202e+00,5.80912778e+01,1.28980172e-01,4.09428567e-03,3.11491764e+00,6.52243850e-02,0.00000000e+00,900.000000,7.617771e+01,1.377752
1.243426,-2.86852136e+01,6.14869641e+01,3.39282800e+01,3.18223572e+00,5.81716477e+01,1.28980235e-01,4.10044926e-03,3.11696045e+00,6.52752696e-02,0.00000000e+00,300.000000,1.348028e+01,4.133257
1.263913,-2.87826258e+01,6.15643680e+01,3.39282800e+01,3.18419726e+00,5.82470839e+01,1.28980293e-01,4.10654960e-03,3.11887429e+00,6.53229686e-02,0.00000000e+00,310.000000,1.657274e+01,3.999926
1.284379,-2.88758664e+01,6.16376158e+01,3.39282800e+01,3.18605037e+00,5.83184726e+01,1.28980349e-01,4.11249363e-03,3.12068232e+00,6.53680515e-02,0.00000000e+00,320.000000,2.064668e+01,3.874928
1.304831,-2.89661680e+01,6.17079170e+01,3.39282800e+01,3.18782602e+00,5.83869922e+01,1.28980402e-01,4.11837190e-03,3.12241475e+00,6.54112721e-02,0.00000000e+00,330.000000,2.629889e+01,3.757506
1.325268,-2.90536704e+01,6.17754189e+01,3.39282800e+01,3.18952838e+00,5.84527859e+01,1.28980453e-01,4.12415909e-03,3.12407566e+00,6.54527246e-02,0.00000000e+00,340.000000,3.492675e+01,3.646991
1.345694,-2.91387035e+01,6.18404515e+01,3.39282800e+01,3.19116601e+00,5.85161751e+01,1.28980502e-01,4.12990234e-03,3.12567339e+00,6.54926182e-02,0.00000000e+00,350.000000,5.193460e+01,3.542791
-0.159050,3.18099522e+01,2.09140137e+00,3.39282800e+01,9.29624488e-02,1.86569748e+00,1.28497348e-01,4.24409389e-03,9.25336739e-02,4.28774872e-04,0.00000000e+00,360.000000,8.255179e+01,3.444381
-0.138766,3.17532062e+01,2.12813575e+00,3.39282800e+01,9.51591714e-02,1.90022834e+00,1.28503834e-01,4.24440707e-03,9.46962660e-02,4.62905396e-04,0.00000000e+00,370.000000,8.480700e+01,3.351289
-0.118477,3.16953273e+01,2.16601465e+00,3.39282800e+01,9.74712831e-02,1.93578832e+00,1.28510350e-01,4.24470007e-03,9.69716237e-02,4.99659329e-04,0.00000000e+00,380.000000,8.781700e+01,3.263097
-0.098181,3.16362514e+01,2.20508975e+00,3.39282800e+01,9.99068541e-02,1.97242102e+00,1.28516895e-01,4.24497388e-03,9.93676220e-02,5.39232123e-04,0.00000000e+00,390.000000,9.350513e+01,3.179428
-0.077880,3.15759228e+01,2.24541828e+00,3.39282800e+01,1.02474735e-01,2.01017485e+00,1.28523469e-01,4.24522954e-03,1.01892893e-01,5.81841811e-04,0.00000000e+00,400.000000,9.361277e+01,3.099943
-0.057571,3.15142784e+01,2.28706196e+00,3.39282800e+01,1.05184560e-01,2.04910186e+00,1.28530072e-01,4.24546807e-03,1.04556835e-01,6.27725697e-04,0.00000000e+00,410.000000,9.371616e+01,3.024334
-0.037256,3.14512532e+01,2.33008737e+00,3.39282800e+01,1.08046835e-01,2.08925814e+00,1.28536701e-01,4.24569047e-03,1.07369693e-01,6.77142453e-04,0.00000000e+00,420.000000,9.381532e+01,2.952326
-0.016934,3.13867729e+01,2.37456646e+00,3.39282800e+01,1.11073038e-01,2.13070417e+00,1.28543355e-01,4.24589768e-03,1.10342664e-01,7.30374486e-04,0.00000000e+00,430.000000,9.391029e+01,2.883667
0.003396,3.13207622e+01,2.42057711e+00,3.39282800e+01,1.14275737e-01,2.17350525e+00,1.28550033e-01,4.24609062e-03,1.13488006e-01,7.87730613e-04,0.00000000e+00,440.000000,9.400107e+01,2.818130
0.023734,3.12531350e+01,2.46820370e+00,3.39282800e+01,1.17668717e-01,2.21773198e+00,1.28556733e-01,4.24627019e-03,1.16819168e-01,8.49549091e-04,0.00000000e+00,450.000000,9.408763e+01,2.755504
0.044081,3.11837999e+01,2.51753783e+00,3.39282800e+01,1.21267137e-01,2.26346081e+00,1.28563453e-01,4.24643722e-03,1.20350936e-01,9.16201069e-04,0.00000000e+00,460.000000,9.416992e+01,2.695602
0.064437,3.11126587e+01,2.56867911e+00,3.39282800e+01,1.25087700e-01,2.31077463e+00,1.28570191e-01,4.24659254e-03,1.24099606e-01,9.88094520e-04,0.00000000e+00,470.000000,9.424786e+01,2.638249
0.084802,3.10396014e+01,2.62173604e+00,3.39282800e+01,1.29148861e-01,2.35976350e+00,1.28576945e-01,4.24673693e-03,1.28083182e-01,1.06567876e-03,0.00000000e+00,480.000000,9.432136e+01,2.583285
0.105177,3.09645088e+01,2.67682711e+00,3.39282800e+01,1.33471061e-01,2.41052546e+00,1.28583711e-01,4.24687111e-03,1.32321612e-01,1.14944962e-03,0.00000000e+00,490.000000,9.439029e+01,2.530565
0.125564,3.08872530e+01,2.73408195e+00,3.39282800e+01,1.38077012e-01,2.46316745e+00,1.28590488e-01,4.24699581e-03,1.36837057e-01,1.23995545e-03,0.00000000e+00,500.000000,9.445448e+01,2.479954
0.145962,3.08076918e+01,2.79364282e+00,3.39282800e+01,1.42992027e-01,2.51780640e+00,1.28597273e-01,4.24711171e-03,1.41654223e-01,1.33780405e-03,0.00000000e+00,510.000000,9.451375e+01,2.431327
0.166372,3.07256669e+01,2.85566621e+00,3.39282800e+01,1.48244417e-01,2.57457051e+00,1.28604063e-01,4.24721943e-03,1.46800746e-01,1.44367072e-03,0.00000000e+00,520.000000,9.456788e+01,2.384571
0.186795,3.06410081e+01,2.92032485e+00,3.39282800e+01,1.53865981e-01,2.63360070e+00,1.28610855e-01,4.24731961e-03,1.52307673e-01,1.55830772e-03,0.00000000e+00,530.000000,9.461660e+01,2.339579
0.207232,3.05535219e+01,2.98781006e+00,3.39282800e+01,1.59892597e-01,2.69505241e+00,1.28617644e-01,4.24741281e-03,1.58210042e-01,1.68255529e-03,0.00000000e+00,540.000000,9.465960e+01,2.296254
0.227685,3.04629963e+01,3.05833456e+00,3.39282800e+01,1.66364980e-01,2.75909765e+00,1.28624429e-01,4.24749960e-03,1.64547625e-01,1.81735481e-03,0.00000000e+00,550.000000,9.469652e+01,2.254504
0.248154,3.03691921e+01,3.13213596e+00,3.39282800e+01,1.73329656e-01,2.82592752e+00,1.28631205e-01,4.24758051e-03,1.71365891e-01,1.96376425e-03,0.00000000e+00,560.000000,9.472687e+01,2.214245
0.268641,3.02718466e+01,3.20948114e+00,3.39282800e+01,1.80840273e-01,2.89575524e+00,1.28637969e-01,4.24765604e-03,1.78717297e-01,2.12297686e-03,0.00000000e+00,570.000000,9.474974e+01,2.175398
0.289147,3.01706725e+01,3.29067183e+00,3.39282800e+01,1.88960319e-01,2.96881907e+00,1.28644709e-01,4.24772668e-03,1.86663959e-01,2.29636011e-03,0.00000000e+00,580.000000,9.476581e+01,2.137891
0.309674,3.00652917e+01,3.37605243e+00,3.39282800e+01,1.97762425e-01,3.04539078e+00,1.28651436e-01,4.24779289e-03,1.95277004e-01,2.48542116e-03,0.00000000e+00,590.000000,9.477499e+01,2.101656
0.330223,2.99553242e+01,3.46601971e+00,3.39282800e+01,2.07337242e-01,3.12577647e+00,1.28658139e-01,4.24785512e-03,2.04645312e-01,2.69193074e-03,0.00000000e+00,600.000000,9.477590e+01,2.066628
0.350798,2.98403052e+01,3.56103841e+00,3.39282800e+01,2.17796666e-01,3.21032901e+00,1.28664815e-01,4.24791381e-03,2.14878755e-01,2.91791067e-03,0.00000000e+00,610.000000,9.476792e+01,2.032749
0.371402,2.97196795e+01,3.66166386e+00,3.39282800e+01,2.29284678e-01,3.29945975e+00,1.28671458e-01,4.24796939e-03,2.26118971e-01,3.16570690e-03,0.00000000e+00,620.000000,9.475030e+01,1.999963
0.392036,2.95927653e+01,3.76857772e+00,3.39282800e+01,2.41993645e-01,3.39365799e+00,1.28678067e-01,4.24802228e-03,2.38555572e-01,3.43807241e-03,0.00000000e+00,630.000000,9.472225e+01,1.968217
0.412707,2.94586965e+01,3.88264610e+00,3.39282800e+01,2.56190592e-01,3.49352280e+00,1.28684635e-01,4.24807292e-03,2.52452302e-01,3.73829024e-03,0.00000000e+00,640.000000,9.468285e+01,1.937464
0.433418,2.93163259e+01,4.00501638e+00,3.39282800e+01,2.72259227e-01,3.59981787e+00,1.28691161e-01,4.24812178e-03,2.68188858e-01,4.07036907e-03,0.00000000e+00,650.000000,9.463109e+01,1.907657
0.454180,2.91640590e+01,4.13728279e+00,3.39282800e+01,2.90766404e-01,3.71357058e+00,1.28697641e-01,4.24816938e-03,2.86327028e-01,4.43937583e-03,0.00000000e+00,660.000000,9.456582e+01,1.878753
0.475002,2.89995656e+01,4.28177572e+00,3.39282800e+01,3.12566376e-01,3.83625705e+00,1.28704071e-01,4.24821634e-03,3.07714340e-01,4.85203672e-03,0.00000000e+00,670.000000,9.448574e+01,1.850712
0.495904,2.88192615e+01,4.44207920e+00,3.39282800e+01,3.38964280e-01,3.97015620e+00,1.28710450e-01,4.24826348e-03,3.33646404e-01,5.31787599e-03,0.00000000e+00,680.000000,9.438941e+01,1.823496
0.516913,2.86173631e+01,4.62397729e+00,3.39282800e+01,3.71974757e-01,4.11903745e+00,1.28716776e-01,4.24831197e-03,3.66123311e-01,5.85144649e-03,0.00000000e+00,690.000000,9.427515e+01,1.797068
0.538079,2.83841243e+01,4.83721534e+00,3.39282800e+01,4.14736864e-01,4.28950706e+00,1.28723050e-01,4.24836363e-03,4.08260075e-01,6.47678894e-03,0.00000000e+00,700.000000,9.414110e+01,1.771396
0.559487,2.81025275e+01,5.09881172e+00,3.39282800e+01,4.72187505e-01,4.49364652e+00,1.28729274e-01,4.24842148e-03,4.64951078e-01,7.23642709e-03,0.00000000e+00,710.000000,9.398511e+01,1.746446
0.581290,2.77420538e+01,5.43928467e+00,3.39282800e+01,5.52155799e-01,4.75414493e+00,1.28735457e-01,4.24849081e-03,5.43946332e-01,8.20946681e-03,0.00000000e+00,720.000000,9.380473e+01,1.722190
0.603764,2.72471515e+01,5.91418589e+00,3.39282800e+01,6.67108113e-01,5.11408757e+00,1.28741618e-01,4.24858123e-03,6.57560728e-01,9.54738547e-03,0.00000000e+00,730.000000,9.359715e+01,1.698599
0.627416,2.65167272e+01,6.62460879e+00,3.39282800e+01,8.36771859e-01,5.65484043e+00,1.28747796e-01,4.24871041e-03,8.25229977e-01,1.15418819e-02,0.00000000e+00,740.000000,9.335914e+01,1.675645
0.653145,2.53709475e+01,7.75038695e+00,3.39282800e+01,1.09150916e+00,6.52587481e+00,1.28754064e-01,4.24891071e-03,1.07676697e+00,1.47421893e-02,0.00000000e+00,750.000000,9.308693e+01,1.653303
0.682457,2.35085891e+01,9.59274141e+00,3.39282800e+01,1.47481479e+00,7.98491683e+00,1.28760550e-01,4.24923973e-03,1.45469639e+00,2.01183974e-02,0.00000000e+00,760.000000,9.277614e+01,1.631549
0.717570,2.04859936e+01,1.25953328e+01,3.39282800e+01,2.03943118e+00,1.04228843e+01,1.28767458e-01,4.24979343e-03,2.01026533e+00,2.91658484e-02,0.00000000e+00,770.000000,9.242167e+01,1.610360
0.760971,1.58057940e+01,1.72555531e+01,3.39282800e+01,2.82655334e+00,1.42959740e+01,1.28775034e-01,4.25071398e-03,2.78293717e+00,4.36161671e-02,0.00000000e+00,780.000000,9.201745e+01,1.589714
0.813917,9.21650032e+00,2.38247725e+01,3.39282800e+01,3.82364014e+00,1.98680967e+01,1.28783405e-01,4.25217493e-03,3.75931875e+00,6.43213930e-02,0.00000000e+00,790.000000,9.155632e+01,1.569591
0.874355,1.12902881e+00,3.18924586e+01,3.39282800e+01,4.92934195e+00,2.68300699e+01,1.28792416e-01,4.25434099e-03,4.83958102e+00,8.97609279e-02,0.00000000e+00,800.000000,9.102967e+01,1.549971
0.936599,-7.31983456e+00,4.03208688e+01,3.39282800e+01,5.97864931e+00,3.42091608e+01,1.28801311e-01,4.25732239e-03,5.86283857e+00,1.15810737e-01,0.00000000e+00,810.000000,9.042712e+01,1.530836
0.993751,-1.47501201e+01,4.77319309e+01,3.39282800e+01,6.82668630e+00,4.07721743e+01,1.28809159e-01,4.26113537e-03,6.68859709e+00,1.38089211e-01,0.00000000e+00,820.000000,8.973599e+01,1.512167
1.041418,-2.02836247e+01,5.32458065e+01,3.39282800e+01,7.41485121e+00,4.56978745e+01,1.28815092e-01,4.26569353e-03,7.26077743e+00,1.54073781e-01,0.00000000e+00,830.000000,8.894062e+01,1.493948
1.079182,-2.38363406e+01,5.67785164e+01,3.39282800e+01,7.77264757e+00,4.88727791e+01,1.28818964e-01,4.27080818e-03,7.60866441e+00,1.63983160e-01,0.00000000e+00,840.000000,8.802139e+01,1.476163
1.109415,-2.58830492e+01,5.88034263e+01,3.39282800e+01,7.96881792e+00,5.07015110e+01,1.28821162e-01,4.27622917e-03,7.79944513e+00,1.69372788e-01,0.00000000e+00,850.000000,8.695338e+01,1.458796
1.134965,-2.69930767e+01,5.98950071e+01,3.39282800e+01,8.07616846e+00,5.16857344e+01,1.28822448e-01,4.28174319e-03,7.90368399e+00,1.72484475e-01,0.00000000e+00,860.000000,8.570432e+01,1.441834
1.158004,-2.76008568e+01,6.04815082e+01,3.39282800e+01,8.13139674e+00,5.22170010e+01,1.28823100e-01,4.28729995e-03,7.95742969e+00,1.73967046e-01,0.00000000e+00,870.000000,8.423151e+01,1.425261
1.179754,-2.79507690e+01,6.08118005e+01,3.39282800e+01,8.16204197e+00,5.25166422e+01,1.28823459e-01,4.29284350e-03,7.98718280e+00,1.74859166e-01,0.00000000e+00,880.000000,8.247698e+01,1.409065
1.200875,-2.81750940e+01,6.10159868e+01,3.39282800e+01,8.18110530e+00,5.27017595e+01,1.28823687e-01,4.29829527e-03,8.00571444e+00,1.75390857e-01,0.00000000e+00,890.000000,8.035941e+01,1.393233
1.221686,-2.83371106e+01,6.11579490e+01,3.39282800e+01,8.19438671e+00,5.28304348e+01,1.28823847e-01,4.30359864e-03,8.01862275e+00,1.75763957e-01,0.00000000e+00,900.000000,7.775998e+01,1.377752
1.242342,-2.84683924e+01,6.12692160e+01,3.39282800e+01,8.20481638e+00,5.29312667e+01,1.28823973e-01,4.30888163e-03,8.02875768e+00,1.76058699e-01,0.00000000e+00,300.000000,1.361017e+01,4.133257
1.262916,-2.85832546e+01,6.13640797e+01,3.39282800e+01,8.21371646e+00,5.30172251e+01,1.28824081e-01,4.31405649e-03,8.03740533e+00,1.76311125e-01,0.00000000e+00,310.000000,1.672124e+01,3.999926
1.283444,-2.86887109e+01,6.14495452e+01,3.39282800e+01,8.22173654e+00,5.30946654e+01,1.28824179e-01,4.31914107e-03,8.04519742e+00,1.76539123e-01,0.00000000e+00,320.000000,2.081886e+01,3.874928
1.303941,-2.87882081e+01,6.15290550e+01,3.39282800e+01,8.22919550e+00,5.31667111e+01,1.28824270e-01,4.32416956e-03,8.05244404e+00,1.76751464e-01,0.00000000e+00,330.000000,2.650306e+01,3.757506
1.324415,-2.88830886e+01,6.16039485e+01,3.39282800e+01,8.23621633e+00,5.32345788e+01,1.28824356e-01,4.32906889e-03,8.05926489e+00,1.76951440e-01,0.00000000e+00,340.000000,3.517901e+01,3.646991
1.344874,-2.89747462e+01,6.16756207e+01,3.39282800e+01,8.24293155e+00,5.32995308e+01,1.28824439e-01,4.33390767e-03,8.06578866e+00,1.77142895e-01,0.00000000e+00,350.000000,5.228301e+01,3.542791
-0.158199,3.16398383e+01,2.26131408e+00,3.39282800e+01,8.40223487e-02,2.04464212e+00,1.28350705e-01,4.29890214e-03,8.38307020e-02,1.91646674e-04,0.00000000e+00,360.000000,8.307314e+01,3.444381
-0.137882,3.15763164e+01,2.30482630e+00,3.39282800e+01,8.54854698e-02,2.08668728e+00,1.28353443e-01,4.30010771e-03,8.52797407e-02,2.05729149e-04,0.00000000e+00,370.000000,8.531300e+01,3.351289
-0.117559,3.15118722e+01,2.34927066e+00,3.39282800e+01,8.70274634e-02,2.12958579e+00,1.28356161e-01,4.30124867e-03,8.68062448e-02,2.21218608e-04,0.00000000e+00,380.000000,8.830416e+01,3.263097
-0.097232,3.14464733e+01,2.39466935e+00,3.39282800e+01,8.86555758e-02,2.17335258e+00,1.28358868e-01,4.30232430e-03,8.84173140e-02,2.38261815e-04,0.00000000e+00,390.000000,9.396121e+01,3.179428
-0.076900,3.13800874e+01,2.44105488e+00,3.39282800e+01,9.03775707e-02,2.21801241e+00,1.28361564e-01,4.30333480e-03,9.01205597e-02,2.57011012e-04,0.00000000e+00,400.000000,9.405779e+01,3.099943
-0.056563,3.13126731e+01,2.48846829e+00,3.39282800e+01,9.22017396e-02,2.26359802e+00,1.28364251e-01,4.30428095e-03,9.19241097e-02,2.77629878e-04,0.00000000e+00,410.000000,9.414992e+01,3.024334
-0.036221,3.12441820e+01,2.53695951e+00,3.39282800e+01,9.41369526e-02,2.31015047e+00,1.28366928e-01,4.30516405e-03,9.38366578e-02,3.00294767e-04,0.00000000e+00,420.000000,9.423764e+01,2.952326
-0.015873,3.11745537e+01,2.58658758e+00,3.39282800e+01,9.61927273e-02,2.35771927e+00,1.28369595e-01,4.30598590e-03,9.58675311e-02,3.25196266e-04,0.00000000e+00,430.000000,9.432094e+01,2.883667
0.004481,3.11037190e+01,2.63742078e+00,3.39282800e+01,9.83793184e-02,2.40636246e+00,1.28372252e-01,4.30674865e-03,9.80267773e-02,3.52541128e-04,0.00000000e+00,440.000000,9.439979e+01,2.818130
0.024842,3.10316034e+01,2.68953685e+00,3.39282800e+01,1.00707829e-01,2.45614666e+00,1.28374900e-01,4.30745481e-03,1.00325275e-01,3.82554572e-04,0.00000000e+00,450.000000,9.447413e+01,2.755504
0.045209,3.09581153e+01,2.74302305e+00,3.39282800e+01,1.03190348e-01,2.50714706e+00,1.28377537e-01,4.30810709e-03,1.02774865e-01,4.15482998e-04,0.00000000e+00,460.000000,9.454389e+01,2.695602
0.065584,3.08831622e+01,2.79797644e+00,3.39282800e+01,1.05840108e-01,2.55944746e+00,1.28380163e-01,4.30870840e-03,1.05388511e-01,4.51597130e-04,0.00000000e+00,470.000000,9.460895e+01,2.638249
0.085967,3.08066354e+01,2.85450423e+00,3.39282800e+01,1.08671677e-01,2.61314051e+00,1.28382778e-01,4.30926170e-03,1.08180482e-01,4.91195651e-04,0.00000000e+00,480.000000,9.466920e+01,2.583285
0.106358,3.07284146e+01,2.91272424e+00,3.39282800e+01,1.11701184e-01,2.66832790e+00,1.28385381e-01,4.30977001e-03,1.11166575e-01,5.34609372e-04,0.00000000e+00,490.000000,9.472446e+01,2.530565
0.126758,3.06483713e+01,2.97276562e+00,3.39282800e+01,1.14946577e-01,2.72512083e+00,1.28387972e-01,4.31023633e-03,1.14364371e-01,5.82206043e-04,0.00000000e+00,500.000000,9.477456e+01,2.479954
0.147168,3.05663672e+01,3.03476979e+00,3.39282800e+01,1.18427944e-01,2.78364063e+00,1.28390550e-01,4.31066360e-03,1.17793548e-01,6.34395900e-04,0.00000000e+00,510.000000,9.481927e+01,2.431327
0.167589,3.04822437e+01,3.09889164e+00,3.39282800e+01,1.22167885e-01,2.84401959e+00,1.28393114e-01,4.31105466e-03,1.21476247e-01,6.91638113e-04,0.00000000e+00,520.000000,9.485835e+01,2.384571
0.188021,3.03958338e+01,3.16530109e+00,3.39282800e+01,1.26191983e-01,2.90640203e+00,1.28395664e-01,4.31141226e-03,1.25437534e-01,7.54448307e-04,0.00000000e+00,530.000000,9.489151e+01,2.339579
0.208465,3.03069509e+01,3.23418501e+00,3.39282800e+01,1.30529378e-01,2.97094570e+00,1.28398200e-01,4.31173901e-03,1.29705970e-01,8.23407413e-04,0.00000000e+00,540.000000,9.491843e+01,2.296254
0.228923,3.02153852e+01,3.30574971e+00,3.39282800e+01,1.35213519e-01,3.03782343e+00,1.28400722e-01,4.31203738e-03,1.34314346e-01,8.99172152e-04,0.00000000e+00,550.000000,9.493874e+01,2.254504
0.249395,3.01209105e+01,3.38022395e+00,3.39282800e+01,1.40283156e-01,3.10722526e+00,1.28403228e-01,4.31230973e-03,1.39300668e-01,9.82487576e-04,0.00000000e+00,560.000000,9.495200e+01,2.214245
0.269884,3.00232702e+01,3.45786298e+00,3.39282800e+01,1.45783723e-01,3.17936098e+00,1.28405720e-01,4.31255824e-03,1.44709521e-01,1.07420222e-03,0.00000000e+00,570.000000,9.495768e+01,2.175398
0.290389,2.99221929e+01,3.53895777e+00,3.39282800e+01,1.51770124e-01,3.25446667e+00,1.28408184e-01,4.31278503e-03,1.50594853e-01,1.17527131e-03,0.00000000e+00,580.000000,9.495550e+01,2.137891
0.310913,2.98173244e+01,3.62382616e+00,3.39282800e+01,1.58306687e-01,3.33279584e+00,1.28410645e-01,4.31299193e-03,1.57019846e-01,1.28684105e-03,0.00000000e+00,590.000000,9.494498e+01,2.101656
0.331458,2.97083043e+01,3.71284607e+00,3.39282800e+01,1.65476337e-01,3.41464347e+00,1.28413091e-01,4.31318080e-03,1.64066150e-01,1.41018720e-03,0.00000000e+00,600.000000,9.492535e+01,2.066628
