feature,importance_mean,importance_std
missing(dielectric permittivity (relative)),0.006393776489250417,0.010454302396307086
electron affinity[eV],0.014989629509817656,0.023720501467893524
missing(band gap[eV]),0.02794809423656881,0.03017968188587948
dielectric permittivity (relative),0.041605088479945436,0.033219053862892804
band gap[eV],0.06484376121612341,0.030780529847228122
thickness[µm],0.25348985678479524,0.06405530505451351
missing(electron affinity[eV]),0.31909198441017445,0.11095270259929416
missing(thickness[µm]),0.31909198441017445,0.11095270259929416
