feature,importance_mean,importance_std
dielectric permittivity (relative),0.1096163980271214,0.03935352320578091
missing(band gap[eV]),0.16149057869477998,0.06231297694669238
missing(dielectric permittivity (relative)),0.16149057869477998,0.06231297694669238
band gap[eV],0.32631157313419745,0.12430879469042544
thickness[µm],0.3814225828242109,0.09238360607591314
missing(electron affinity[eV]),0.49013336267381497,0.1588506582971892
missing(thickness[µm]),0.49013336267381497,0.1588506582971892
electron affinity[eV],0.9052408167311213,0.22512676370160942
