source_file,simulation_id,scan_point,thickness[µm],v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),Voc,Jsc,FF,eta,V_MPP,J_MPP
thickness.iv,1,23,0.5,0.295199,28.9602122,3.22433503,32.6414989,0.108566667,2.96721856,0.128585673,0.0199641336,0.108157574,0.000409093091,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,24,0.5,0.315797,28.8405648,3.32398179,32.6414989,0.112945153,3.06247676,0.128590343,0.0199695283,0.112484464,0.000460688799,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,25,0.5,0.33642,28.7160394,3.42850659,32.6414989,0.117766562,3.16217052,0.128594979,0.0199745314,0.11724722,0.000519342388,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,26,0.5,0.357069,28.5862188,3.53832691,32.6414989,0.123110454,3.26663772,0.128599581,0.0199791546,0.122524387,0.000586066794,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,27,0.5,0.377747,28.4505937,3.65395133,32.6414989,0.12908251,3.37628126,0.12860415,0.0199834118,0.12842046,0.000662050032,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,28,0.5,0.398457,28.3085324,3.77601196,32.6414989,0.135828704,3.49158725,0.128608686,0.0199873194,0.135079999,0.000748705076,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,29,0.5,0.419204,28.1592274,3.90531607,32.6414989,0.143558366,3.61315363,0.128613187,0.0199908954,0.14271062,0.000847746009,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,30,0.5,0.439992,28.0016113,4.04293151,32.6414989,0.152581252,3.74173844,0.128617655,0.0199941592,0.15161994,0.000961311999,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,31,0.5,0.460829,27.8342106,4.19033151,32.6414989,0.163366251,3.87834603,0.128622089,0.0199971312,0.162274069,0.00109218226,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,32,0.5,0.481726,27.6548945,4.34964658,32.6414989,0.176633138,4.02438712,0.128626489,0.0199998327,0.175388968,0.00124416965,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,33,0.5,0.502698,27.4604281,4.52411278,32.6414989,0.193495098,4.18198454,0.128630857,0.020002286,0.192072225,0.00142287242,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,34,0.5,0.523772,27.2456511,4.71888806,32.6414989,0.215680877,4.35456747,0.128635194,0.0200045143,0.214043725,0.00163715255,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,35,0.5,0.54499,27.0019712,4.94256752,32.6414989,0.245884359,4.54803711,0.128639505,0.0200065434,0.243982265,0.00190209472,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,36,0.5,0.566427,26.7145072,5.21003024,32.6414989,0.288319244,4.7730588,0.128643797,0.020008403,0.28607427,0.00224497344,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
