feature,importance_mean,importance_std
missing(dielectric permittivity (relative)),0.007796754997060141,0.0051529169984604875
missing(band gap[eV]),0.009110298108189988,0.0038766435888954814
dielectric permittivity (relative),0.05334651921755377,0.019554178178953066
thickness[µm],0.16910865009369305,0.04599215817461736
band gap[eV],0.17700337853326562,0.07133639812590062
electron affinity[eV],0.20014504703312122,0.07458011844861022
missing(thickness[µm]),0.400903729926414,0.12271102809789523
missing(electron affinity[eV]),0.417643123704267,0.12787998027837646
