source_file,simulation_id,scan_point,band gap[eV],electron affinity[eV],thickness[µm],v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),Voc,Jsc,FF,eta,V_MPP,J_MPP
thickness+bandgap.iv,13,53,1.296,4.165,,1.180445,-28.0890632,58.4314168,31.3924751,5.08550644,53.1643935,0.128821503,0.0526953701,5.00031164,0.0851948019,0.0,0.873586,29.26764783,60.0765,15.3602,0.639998,24.00047514
thickness+bandgap.iv,13,54,1.296,4.165,,1.201423,-28.2846306,58.6055358,31.3924751,5.09467658,53.3292761,0.128821658,0.0527614734,5.00929625,0.0853803282,0.0,0.873586,29.26764783,60.0765,15.3602,0.639998,24.00047514
thickness+bandgap.iv,13,55,1.296,4.165,,1.222161,-28.4322121,58.733114,31.3924751,5.10232322,53.4491416,0.128821805,0.052827315,5.01675713,0.0855660919,0.0,0.873586,29.26764783,60.0765,15.3602,0.639998,24.00047514
thickness+bandgap.iv,13,56,1.296,4.165,,1.242779,-28.5558644,58.8367656,31.3924751,5.10852849,53.5465231,0.128821924,0.0528920624,5.02281152,0.0857169746,0.0,0.873586,29.26764783,60.0765,15.3602,0.639998,24.00047514
thickness+bandgap.iv,13,57,1.296,4.165,,1.263333,-28.6665014,58.9274035,31.3924751,5.11394929,53.6316767,0.128822028,0.0529554942,5.02810041,0.0858488784,0.0,0.873586,29.26764783,60.0765,15.3602,0.639998,24.00047514
thickness+bandgap.iv,13,58,1.296,4.165,,1.283847,-28.7693748,59.0102784,31.3924751,5.11890102,53.7095374,0.128822123,0.0530178308,5.03293158,0.0859694351,0.0,0.873586,29.26764783,60.0765,15.3602,0.639998,24.00047514
thickness+bandgap.iv,13,59,1.296,4.165,,1.304334,-28.8668108,59.087716,31.3924751,5.1235235,53.7822914,0.128822212,0.0530789393,5.03744148,0.0860820256,0.0,0.873586,29.26764783,60.0765,15.3602,0.639998,24.00047514
thickness+bandgap.iv,13,60,1.296,4.165,,1.324803,-28.9605357,59.1614427,31.3924751,5.12792045,53.8515607,0.128822297,0.0531392201,5.04173128,0.0861891638,0.0,0.873586,29.26764783,60.0765,15.3602,0.639998,24.00047514
thickness+bandgap.iv,13,61,1.296,4.165,,1.345255,-29.051088,59.2319968,31.3924751,5.13212441,53.9178511,0.128822378,0.0531988919,5.04583277,0.0862916345,0.0,0.873586,29.26764783,60.0765,15.3602,0.639998,24.00047514
thickness+bandgap.iv,14,1,1.296,4.266,,-0.148422,29.6843215,1.69729135,31.3924751,0.046481357,1.47124997,0.128351009,0.0512090171,0.0463608864,0.000120470556,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,2,1.296,4.266,,-0.128169,29.633712,1.72789179,31.3924751,0.0475267065,1.50075352,0.128354924,0.0512566384,0.0473988658,0.00012784066,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,3,1.296,4.266,,-0.107908,29.5816379,1.759965,31.3924751,0.0486212577,1.53168088,0.128358738,0.0513041307,0.0484856387,0.000135618982,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,4,1.296,4.266,,-0.08764,29.5279712,1.79363124,31.3924751,0.049768362,1.56414894,0.12836246,0.0513514859,0.0496245254,0.000143836575,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,5,1.296,4.266,,-0.067363,29.4725806,1.82902102,31.3924751,0.0509717425,1.59828448,0.128366093,0.0513987015,0.0508192232,0.000152519313,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,6,1.296,4.266,,-0.047077,29.4153229,1.86627797,31.3924751,0.0522354739,1.63422708,0.128369639,0.051445775,0.0520737787,0.000161695203,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,7,1.296,4.266,,-0.02678,29.3560401,1.90556029,31.3924751,0.0535640252,1.67213046,0.128373099,0.0514927038,0.0533926306,0.000171394638,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,8,1.296,4.266,,-0.006473,29.294557,1.94704219,31.3924751,0.054962309,1.71216392,0.128376475,0.051539485,0.0547806583,0.0001816507,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,9,1.296,4.266,,0.013847,29.2306985,1.99091458,31.3924751,0.0564358407,1.75451286,0.128379756,0.0515861243,0.0562433584,0.000192482235,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,10,1.296,4.266,,0.034179,29.1642221,2.03739087,31.3924751,0.0579904039,1.7993849,0.128382969,0.0516326009,0.057786442,0.000203961846,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,11,1.296,4.266,,0.054525,29.0949105,2.08670233,31.3924751,0.0596327264,1.84700458,0.128386104,0.0516789196,0.0594166093,0.000216117103,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,12,1.296,4.266,,0.074887,29.0225081,2.13910454,31.3924751,0.0613701829,1.89762012,0.128389163,0.0517250763,0.061141187,0.000228995945,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
