feature,importance_mean,importance_std
missing(band gap[eV]),0.0034378125165325096,0.008207638395717332
missing(dielectric permittivity (relative)),0.0034844706150789356,0.009500873502184986
dielectric permittivity (relative),0.05116861384920609,0.012934448165014234
band gap[eV],0.1650286491369065,0.06322488721618096
thickness[µm],0.23625561885581467,0.06936177707216823
missing(thickness[µm]),0.2749752474636209,0.11276557173065271
electron affinity[eV],0.46289552488425123,0.11487168577249286
missing(electron affinity[eV]),0.8041025932142926,0.27202240122059596
