feature,importance_mean,importance_std
missing(dielectric permittivity (relative)),-0.00303859293265051,0.003458261890212298
missing(band gap[eV]),-0.002348379366181851,0.003598944612930318
dielectric permittivity (relative),0.05211724663034017,0.01300871423402584
band gap[eV],0.20250422420594968,0.06697600830783607
thickness[µm],0.2534811415711673,0.07273228821927387
electron affinity[eV],0.3826883190215648,0.09174752318838669
missing(electron affinity[eV]),0.47408146826168346,0.17480389979738548
missing(thickness[µm]),0.5808635372194692,0.20698865238759986
