feature,importance_mean,importance_std
missing(band gap[eV]),0.015309395249113858,0.0049184962079950895
missing(dielectric permittivity (relative)),0.016442392092421404,0.009723726719271707
dielectric permittivity (relative),0.05089257942156692,0.016959053768860692
thickness[µm],0.15690236643242425,0.04526387803932784
band gap[eV],0.17228796263089344,0.07113184552178152
electron affinity[eV],0.25082450183255256,0.09147154855897756
missing(thickness[µm]),0.3909590521411979,0.11489005167088334
missing(electron affinity[eV]),0.46258262184192817,0.13585025927376204
