feature,importance_mean,importance_std
missing(dielectric permittivity (relative)),0.006632409866136206,0.010844485801688038
electron affinity[eV],0.014654224612075559,0.023579033680771622
missing(band gap[eV]),0.03120530623529354,0.030245083568316372
dielectric permittivity (relative),0.04279971587675638,0.03276667427673364
band gap[eV],0.06455944975297014,0.03090672612950323
thickness[µm],0.25432893497941506,0.06407940612879212
missing(electron affinity[eV]),0.3190298360643326,0.11047145937435947
missing(thickness[µm]),0.3190298360643398,0.11047145937436137
