feature,importance_mean,importance_std
missing(dielectric permittivity (relative)),0.024796209359282034,0.016640456394502828
missing(band gap[eV]),0.024796209359282034,0.016640456394502828
band gap[eV],0.03575694651461805,0.07604339354106855
dielectric permittivity (relative),0.08353140955656707,0.02214927358915778
missing(electron affinity[eV]),0.09231489743700394,0.0467601790898397
missing(thickness[µm]),0.09231489743700394,0.0467601790898397
thickness[µm],0.28541006440499084,0.06085247539865775
electron affinity[eV],0.3197765821181117,0.10129407368472738
