feature,importance_mean,importance_std
missing(dielectric permittivity (relative)),-0.0002992216219442854,0.004312423905485959
missing(band gap[eV]),0.0,0.0
dielectric permittivity (relative),0.0669036373681244,0.027420650875248552
band gap[eV],0.21104990173664354,0.04557591709116411
thickness[µm],0.2295561910241266,0.051707200855275345
electron affinity[eV],0.2702967712594639,0.06847693865246327
missing(electron affinity[eV]),0.3382814381459948,0.10325844950527444
missing(thickness[µm]),0.4162301608157894,0.12269583662688745
