feature,importance_mean,importance_std
electron affinity[eV],0.005050769245870251,0.00501269816893571
missing(band gap[eV]),0.02014538881074865,0.02358026579533467
missing(dielectric permittivity (relative)),0.02014538881074951,0.023580265795335315
band gap[eV],0.05699674523373285,0.060420359279533264
dielectric permittivity (relative),0.08773318475411847,0.015999147721387313
thickness[µm],0.3124767308863164,0.07632325188011785
missing(electron affinity[eV]),0.4182307314401296,0.12976406077618974
missing(thickness[µm]),0.4182307314401363,0.12976406077619188
