MAE,MSE,RMSE,R2,MedianAE,MaxAE,MAPE_pct,sMAPE_pct,ExplainedVariance,model,train_rows,test_rows,source_file
0.24093641046089545,0.06493825551555275,0.25482985601289493,0.7431611309220226,0.26201427946808664,0.34282544286258165,1.6757635434275535,1.689829624326126,0.870067196875549,support_vector_regression,20,5,bandGap+ElectronAffinity.iv
0.25866160833334784,0.08866376618406344,0.2977646153995861,0.6493237883568479,0.2525250916667279,0.47250986666661454,1.7942259475101185,1.7911303083153332,0.6503963004581245,extra_trees,20,5,bandGap+ElectronAffinity.iv
0.36577041017856793,0.18943057245209044,0.4352362260337373,0.2507785493908703,0.44921007053569184,0.6692675041666938,2.5248854041577284,2.520954916074916,0.2525210924487369,random_forest,20,5,bandGap+ElectronAffinity.iv
0.4400840097779749,0.2961700251611638,0.5442150541478652,-0.17138924834485403,0.3637284510540688,1.0318357911685023,2.9878441125152775,3.0417293988303546,0.1718554868899307,gradient_boosting,20,5,bandGap+ElectronAffinity.iv
0.5720513674273185,0.3646695409130519,0.603878746863186,-0.44231334414059664,0.49260004562155757,0.9358480272730887,3.951427183142327,4.04093307834563,0.8519724588372303,knn_regression,20,5,bandGap+ElectronAffinity.iv
1.119516639583829,1.4570153542913946,1.2070689103325438,-4.762676758937954,1.1633594305449861,1.9088321190098956,7.631346769761327,7.978677604875594,0.19434970195810597,ridge_regression,20,5,bandGap+ElectronAffinity.iv
1.11983172375199,1.4571317758980418,1.207117134290638,-4.763137220857513,1.1648697243652517,1.9064038431962302,7.634549257640938,7.982049987586308,0.19667990932696777,linear_regression,20,5,bandGap+ElectronAffinity.iv
0.17309581948674796,0.056855080443340575,0.238443033958513,0.9797769046332657,0.13665811572405762,0.5931637118686339,1.1028876477644107,1.113495491198444,0.9894966659236257,support_vector_regression,40,10,thickness+bandgap.iv
0.37180218158035905,0.20699857437768618,0.45497095992786857,0.9263715418608944,0.3880728017838546,0.9102963305304304,2.34651355775596,2.381948773901894,0.9530108058084144,knn_regression,40,10,thickness+bandgap.iv
0.3914436918982661,0.2413414282510246,0.4912651303023904,0.9141559438240845,0.32608378047206443,0.8664766515672682,2.3543631781181444,2.3831463526409005,0.9276311947816052,gradient_boosting,40,10,thickness+bandgap.iv
0.39696458958336966,0.20137493190293504,0.44874818317507986,0.9283718460938406,0.405229500000015,0.7179219375000336,2.5409598817358363,2.539597454287699,0.9285305564981526,extra_trees,40,10,thickness+bandgap.iv
0.4580948015277766,0.24499352389571144,0.49496820493412647,0.9128569098954535,0.48625209985119433,0.8169942283729981,2.954125741811148,2.9434220089911043,0.9129823837983272,random_forest,40,10,thickness+bandgap.iv
0.7128535135770434,0.6544041299753836,0.8089524893189857,0.7672314061350158,0.673171545417361,1.7009962099842326,4.582112847482276,4.712133457047968,0.8883281343313055,ridge_regression,40,10,thickness+bandgap.iv
0.714405409395656,0.6636749219424971,0.8146624589009224,0.7639338272974847,0.6686730199760031,1.7359474073447334,4.607941869494021,4.740475871227233,0.8840475536030854,linear_regression,40,10,thickness+bandgap.iv
0.1879144026250272,0.09649714139599412,0.3106398902201617,0.9836183201936747,0.1399570220053441,1.0348312106588775,1.4360336124027044,1.4017644036395767,0.9853048209610646,support_vector_regression,60,15,thickness+dielectricPermitivity.iv
