feature,importance_mean,importance_std
missing(band gap[eV]),0.05071082876353969,0.030220679913167237
missing(dielectric permittivity (relative)),0.053677592288432996,0.02959197380914983
dielectric permittivity (relative),0.06416179077860486,0.01634314967760568
missing(electron affinity[eV]),0.09401479272031303,0.038151085528637656
missing(thickness[µm]),0.09401479272031303,0.038151085528637656
band gap[eV],0.14107819263576057,0.03732150492052899
thickness[µm],0.18594045565024062,0.040591980978822564
electron affinity[eV],0.19918257914977675,0.06605467202566825
