feature,importance_mean,importance_std
electron affinity[eV],0.005217267781064017,0.005080505857333426
missing(band gap[eV]),0.018238984569522193,0.023899968815874365
missing(dielectric permittivity (relative)),0.018238984569522193,0.023899968815874365
band gap[eV],0.06018763568679015,0.061567747449892206
dielectric permittivity (relative),0.08904799248697222,0.01666984789539164
thickness[µm],0.3189814217957219,0.07649606923586943
missing(electron affinity[eV]),0.4217030029902158,0.13062033848852542
missing(thickness[µm]),0.4217030029902164,0.13062033848852564
