feature,importance_mean,importance_std
missing(dielectric permittivity (relative)),0.14560990729299822,0.0633349017178444
missing(band gap[eV]),0.15586149783175177,0.04188154071473066
dielectric permittivity (relative),0.1676581741834903,0.04716552289796503
thickness[µm],0.3020926837466013,0.06412378268361835
band gap[eV],0.3698596259953612,0.0785896257941721
missing(electron affinity[eV]),0.4446645344275286,0.13649073349255764
missing(thickness[µm]),0.4446645344275286,0.13649073349255764
electron affinity[eV],0.5023951387546619,0.11303436386153175
