feature,importance_mean,importance_std
thickness[µm],0.060544300694426546,0.03906399569970605
electron affinity[eV],0.11395823315971958,0.06944275855009388
band gap[eV],0.2228373981597066,0.09245177904373036
missing(electron affinity[eV]),0.41775993493054137,0.20301957164019865
missing(thickness[µm]),0.47758670374997814,0.22155801005587394
